"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Ants.nlogo"
"Evaoration rate experiment"
"12/04/2024 14:12:22:463 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","evaporation-rate","population","diffusion-rate","[step]","ticks"
"477","47","125","50","2017","2017"
"478","47","125","50","1920","1920"
"480","47","125","50","2614","2614"
"481","48","125","50","1886","1886"
"479","47","125","50","2126","2126"
"482","48","125","50","1781","1781"
"486","48","125","50","1588","1588"
"483","48","125","50","2245","2245"
"484","48","125","50","2066","2066"
"485","48","125","50","1722","1722"
"488","48","125","50","1673","1673"
"487","48","125","50","2103","2103"
"489","48","125","50","1878","1878"
"490","48","125","50","1843","1843"
"495","49","125","50","1856","1856"
"491","49","125","50","1917","1917"
"494","49","125","50","1857","1857"
"492","49","125","50","1983","1983"
"493","49","125","50","2224","2224"
"498","49","125","50","1899","1899"
"501","50","125","50","1653","1653"
"496","49","125","50","2284","2284"
"497","49","125","50","1975","1975"
"502","50","125","50","1767","1767"
"499","49","125","50","2242","2242"
"503","50","125","50","1539","1539"
"500","49","125","50","2225","2225"
"504","50","125","50","2179","2179"
"506","50","125","50","1917","1917"
"505","50","125","50","2004","2004"
"508","50","125","50","2004","2004"
"511","51","125","50","1562","1562"
"507","50","125","50","2047","2047"
"513","51","125","50","1706","1706"
"509","50","125","50","2233","2233"
"512","51","125","50","2124","2124"
"510","50","125","50","2241","2241"
"514","51","125","50","2056","2056"
"515","51","125","50","2074","2074"
"518","51","125","50","2139","2139"
"516","51","125","50","2158","2158"
"517","51","125","50","1770","1770"
"519","51","125","50","2217","2217"
"520","51","125","50","1912","1912"
"521","52","125","50","1841","1841"
"522","52","125","50","2023","2023"
"523","52","125","50","2094","2094"
"526","52","125","50","1640","1640"
"524","52","125","50","2026","2026"
"527","52","125","50","2128","2128"
"528","52","125","50","2049","2049"
"525","52","125","50","2099","2099"
"529","52","125","50","1948","1948"
"531","53","125","50","1855","1855"
"530","52","125","50","2348","2348"
"532","53","125","50","1954","1954"
"533","53","125","50","2004","2004"
"535","53","125","50","1711","1711"
"534","53","125","50","1907","1907"
"537","53","125","50","2034","2034"
"538","53","125","50","1804","1804"
"536","53","125","50","1860","1860"
"539","53","125","50","2066","2066"
"542","54","125","50","2003","2003"
"541","54","125","50","1943","1943"
"540","53","125","50","2015","2015"
"543","54","125","50","1945","1945"
"544","54","125","50","1790","1790"
"546","54","125","50","1726","1726"
