"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Traffic Basic.nlogo"
"experiment"
"12/13/2024 22:11:59:354 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-4","4"
"[run number]","acceleration","number-of-cars","deceleration","[step]","mean [speed] of turtles"
"131","0.0025","20","0.017","300","0.20684283027555175"
"132","0.0025","20","0.017","300","0.36204113210211347"
"133","0.0025","20","0.017","300","0.21621539008803142"
"137","0.0025","20","0.017","300","0.21495590461867997"
"135","0.0025","20","0.017","300","0.20047398997870855"
"126","0.0025","20","0.017","300","0.3401830148453036"
"124","0.0025","20","0.017","300","0.21228961190887774"
"139","0.0025","20","0.017","300","0.2376879821883456"
"134","0.0025","20","0.017","300","0.23097406106896154"
"138","0.0025","20","0.017","300","0.20152682939761163"
"136","0.0025","20","0.017","300","0.21135933268041834"
"141","0.0025","20","0.017","300","0.3870581259643976"
"143","0.0025","20","0.017","300","0.5443827014232048"
"144","0.0025","20","0.017","300","0.2021275757587771"
"140","0.0025","20","0.017","300","0.20787578964429798"
"142","0.0025","20","0.017","300","0.3058775678154007"
"148","0.0025","20","0.017","300","0.3376275842411352"
"146","0.0025","20","0.017","300","0.2937056197118223"
"145","0.0025","20","0.017","300","0.4221272820494527"
"147","0.0025","20","0.017","300","0.3014945717395662"
"153","0.0025","20","0.017","300","0.279204710973011"
"152","0.0025","20","0.017","300","0.21181847287291883"
"154","0.0025","20","0.017","300","0.32932468292184136"
"150","0.0025","20","0.017","300","0.21609047865680125"
"155","0.0025","20","0.017","300","0.3323662824714289"
"156","0.0025","20","0.017","300","0.293057647971604"
"151","0.0025","20","0.017","300","0.2056492014102139"
"157","0.0025","20","0.017","300","0.23585887512361828"
"149","0.0025","20","0.017","300","0.20332833758504507"
"163","0.0025","20","0.017","300","0.2542808700704483"
"161","0.0025","20","0.017","300","0.21345235625522072"
"160","0.0025","20","0.017","300","0.21316912797715423"
"162","0.0025","20","0.017","300","0.2076439816095838"
"165","0.0025","20","0.017","300","0.21403071769246945"
"164","0.0025","20","0.017","300","0.2182453117620295"
"166","0.0025","20","0.017","300","0.2056559692379231"
"168","0.0025","20","0.017","300","0.20052158777664603"
"170","0.0025","20","0.017","300","0.19967399108418454"
"171","0.0025","20","0.017","300","0.3293375852535534"
"159","0.0025","20","0.017","300","0.21763769304332342"
"173","0.0025","20","0.017","300","0.3839944464957017"
"158","0.0025","20","0.017","300","0.20181134891768573"
"167","0.0025","20","0.017","300","0.3133726979966095"
"169","0.0025","20","0.017","300","0.22257586605263607"
"174","0.0025","20","0.017","300","0.3513238362517277"
"177","0.0025","20","0.017","300","0.29657595325547625"
"172","0.0025","20","0.017","300","0.2781828585936062"
"178","0.0025","20","0.017","300","0.22943495139708808"
"179","0.0025","20","0.017","300","0.216990693271725"
"176","0.0025","20","0.017","300","0.20420786453761183"
