"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Ants.nlogo"
"Evaporation rate experiment"
"12/06/2024 23:13:31:351 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","evaporation-rate","population","diffusion-rate","[step]","ticks","ticks_blue","ticks_sky","ticks_cyan"
"262","10","125","50","1505","1505","1505","630","239"
"270","10","125","50","683","683","683","598","173"
"267","10","125","50","1113","1113","1113","356","215"
"265","10","125","50","1024","1024","1024","564","251"
"268","10","125","50","975","975","975","359","247"
"271","10","125","50","927","927","927","486","188"
"272","10","125","50","920","920","920","365","184"
"269","10","125","50","1142","1142","1142","579","216"
"276","10","125","50","723","723","723","612","219"
"266","10","125","50","2303","2303","2303","516","169"
"278","10","125","50","877","877","877","326","216"
"281","10","125","50","719","719","719","304","268"
"279","10","125","50","752","752","752","625","207"
"273","10","125","50","1032","1032","689","1032","206"
"284","10","125","50","760","760","760","569","178"
"274","10","125","50","1502","1502","1502","542","193"
"277","10","125","50","1258","1258","1258","539","199"
"282","10","125","50","857","857","857","380","182"
"275","10","125","50","1291","1291","1291","545","230"
"285","10","125","50","838","838","838","362","208"
"280","10","125","50","1235","1235","1235","497","182"
"290","10","125","50","776","776","776","640","200"
"283","10","125","50","1291","1291","1291","348","185"
"287","10","125","50","878","878","878","329","216"
"288","10","125","50","837","837","837","369","222"
"292","10","125","50","739","739","739","348","239"
"295","10","125","50","784","784","784","337","209"
"291","10","125","50","957","957","957","362","275"
"294","10","125","50","785","785","785","325","205"
"286","10","125","50","1307","1307","1307","313","302"
"296","10","125","50","781","781","781","351","195"
"298","10","125","50","705","705","705","555","185"
"293","10","125","50","1145","1145","1145","597","199"
"297","10","125","50","988","988","988","526","173"
"299","10","125","50","920","920","920","357","204"
"289","10","125","50","1393","1393","1393","559","204"
"300","10","125","50","1527","1527","1527","573","211"
"306","15","125","50","1231","1231","1231","580","205"
"304","15","125","50","1760","1760","1760","503","207"
"302","15","125","50","2639","2639","2639","840","201"
"301","15","125","50","2362","2362","2362","587","206"
"303","15","125","50","2392","2392","2392","626","207"
"305","15","125","50","2360","2360","2360","542","219"
"309","15","125","50","2852","2852","2852","640","187"
"310","15","125","50","2486","2486","2486","508","207"
"307","15","125","50","2595","2595","2595","375","255"
"308","15","125","50","2645","2645","2645","533","194"
"311","15","125","50","2295","2295","2295","533","239"
"315","15","125","50","2557","2557","2557","351","277"
"318","15","125","50","2219","2219","2219","782","202"
"321","15","125","50","1568","1568","1568","443","230"
"313","15","125","50","2981","2981","2981","640","204"
"312","15","125","50","2936","2936","2936","381","289"
"317","15","125","50","3031","3031","3031","670","243"
"320","15","125","50","2626","2626","2626","563","226"
"316","15","125","50","3536","3536","3536","501","199"
"314","15","125","50","2998","2998","2998","564","224"
"319","15","125","50","3424","3424","3424","577","199"
"326","15","125","50","910","910","633","910","185"
"324","15","125","50","2964","2964","2964","353","212"
"322","15","125","50","3137","3137","3137","366","240"
"331","15","125","50","1024","1024","717","1024","248"
"332","15","125","50","844","844","844","403","221"
"325","15","125","50","2206","2206","2206","897","200"
"328","15","125","50","1817","1817","1817","724","214"
"335","15","125","50","779","779","779","380","246"
"329","15","125","50","2353","2353","2353","434","275"
"333","15","125","50","2233","2233","2233","601","261"
"323","15","125","50","2869","2869","2869","367","308"
"338","15","125","50","995","995","995","459","288"
"334","15","125","50","2702","2702","2702","664","251"
"330","15","125","50","3438","3438","3438","535","196"
"327","15","125","50","3620","3620","3620","397","200"
"341","15","125","50","2222","2222","2222","671","193"
"337","15","125","50","3051","3051","3051","637","219"
"336","15","125","50","2906","2906","2906","464","214"
"339","15","125","50","3130","3130","3130","550","224"
"348","15","125","50","1143","1143","1143","363","270"
"342","15","125","50","2885","2885","2885","683","213"
"343","15","125","50","3359","3359","3359","503","205"
"340","15","125","50","3032","3032","3032","629","199"
"347","15","125","50","2260","2260","2260","538","181"
"349","15","125","50","2877","2877","2877","525","192"
"345","15","125","50","3262","3262","3262","550","184"
"352","15","125","50","2150","2150","2150","663","258"
"344","15","125","50","3165","3165","3165","617","265"
"350","15","125","50","2974","2974","2974","560","227"
"358","15","125","50","1436","1436","1436","312","341"
"346","15","125","50","3473","3473","3473","448","346"
"354","15","125","50","2468","2468","2468","530","231"
"355","15","125","50","2701","2701","2701","551","207"
"351","15","125","50","2774","2774","2774","503","201"
"361","15","125","50","967","967","967","531","191"
"353","15","125","50","3484","3484","3484","373","225"
"356","15","125","50","2796","2796","2796","376","191"
"357","15","125","50","3248","3248","3248","669","292"
"363","15","125","50","2272","2272","2272","532","224"
"366","15","125","50","2416","2416","2416","528","232"
"367","15","125","50","1713","1713","1713","556","196"
"364","15","125","50","1950","1950","1950","403","255"
"360","15","125","50","3169","3169","3169","534","192"
"362","15","125","50","2890","2890","2890","387","262"
"359","15","125","50","2752","2752","2752","495","209"
"370","15","125","50","1199","1199","1199","359","324"
"365","15","125","50","3329","3329","3329","557","239"
"375","15","125","50","941","941","941","544","185"
"372","15","125","50","2994","2994","2994","602","223"
"376","15","125","50","2337","2337","2337","615","244"
"369","15","125","50","2564","2564","2564","589","209"
"368","15","125","50","3102","3102","3102","339","260"
"373","15","125","50","3217","3217","3217","375","287"
"377","15","125","50","2547","2547","2547","488","218"
"371","15","125","50","3387","3387","3387","771","252"
"374","15","125","50","2785","2785","2785","705","220"
"384","15","125","50","1000","1000","1000","403","377"
"383","15","125","50","1380","1380","1380","543","259"
"378","15","125","50","3047","3047","3047","506","216"
"380","15","125","50","2988","2988","2988","616","244"
"385","15","125","50","1259","1259","1259","546","234"
"381","15","125","50","2650","2650","2650","494","181"
"382","15","125","50","3086","3086","3086","623","197"
"379","15","125","50","2849","2849","2849","484","247"
"386","15","125","50","2934","2934","2934","539","200"
"387","15","125","50","2470","2470","2470","584","203"
"388","15","125","50","3033","3033","3033","562","251"
